Lectura regla,V. Acum.,Area,V. Parcial,Cota
9.09,242338.00,340532.00,3391.00,1124.00
9.10,245757.00,343393.00,3420.00,1124.00
9.11,249206.00,346254.00,3448.00,1124.00
9.12,252682.00,349115.00,3477.00,1124.00
9.13,256188.00,351976.00,3505.00,1124.00
9.14,259722.00,354837.00,3534.00,1124.00
9.15,263285.00,357698.00,3563.00,1124.00
9.16,266876.00,360559.00,3591.00,1124.00
9.17,270496.00,363420.00,3620.00,1124.00
9.18,274144.00,366281.00,3649.00,1124.00
9.19,277821.00,369141.00,3677.00,1124.00
9.20,281527.00,372002.00,3706.00,1124.00
9.21,285261.00,374863.00,3734.00,1124.00
9.22,289024.00,377724.00,3763.00,1124.00
9.23,292816.00,380585.00,3792.00,1124.00
9.24,296636.00,383446.00,3820.00,1124.00
9.25,300490.00,387379.00,3854.00,1124.00
9.26,304384.00,391311.00,3893.00,1124.00
9.27,308316.00,395244.00,3933.00,1124.00
9.28,312288.00,399176.00,3972.00,1124.00
9.29,316300.00,403109.00,4011.00,1124.00
9.30,320351.00,407041.00,4051.00,1124.00
9.31,324441.00,410974.00,4090.00,1124.00
9.32,328570.00,414906.00,4129.00,1124.00
9.33,332739.00,418838.00,4169.00,1124.00
9.34,336947.00,422771.00,4208.00,1124.00
9.35,341194.00,426703.00,4247.00,1124.00
9.36,345481.00,430636.00,4287.00,1124.00
9.37,349807.00,434568.00,4326.00,1124.00
9.38,354172.00,438501.00,4365.00,1124.00
9.39,358577.00,442433.00,4405.00,1124.00
9.40,363021.00,446366.00,4444.00,1124.00
9.41,367504.00,450298.00,4483.00,1124.00
9.42,372027.00,454231.00,4523.00,1124.00
9.43,376589.00,458163.00,4562.00,1124.00
9.44,381190.00,462096.00,4601.00,1124.00
9.45,385831.00,466028.00,4641.00,1124.00
9.46,390511.00,469960.00,4680.00,1124.00
9.47,395230.00,473893.00,4719.00,1124.00
9.48,399989.00,477825.00,4759.00,1124.00
9.49,404787.00,481758.00,4798.00,1124.00
9.50,409629.00,486761.00,4843.00,1124.00
9.51,414522.00,491765.00,4893.00,1124.00
9.52,419464.00,496768.00,4943.00,1124.00
9.53,424457.00,501772.00,4993.00,1124.00
9.54,429500.00,506775.00,5043.00,1124.00
9.55,434593.00,511779.00,5093.00,1124.00
9.56,439735.00,516782.00,5143.00,1124.00
9.57,444928.00,521786.00,5193.00,1124.00
9.58,450171.00,526790.00,5243.00,1124.00
9.59,455464.00,531793.00,5293.00,1124.00
9.60,460807.00,536797.00,5343.00,1124.00
9.61,466200.00,541800.00,5393.00,1124.00
9.62,471643.00,546804.00,5443.00,1124.00
9.63,477136.00,551807.00,5493.00,1124.00
9.64,482679.00,556811.00,5543.00,1124.00
9.65,488272.00,561814.00,5593.00,1124.00
9.66,493915.00,566818.00,5643.00,1124.00
9.67,499609.00,571821.00,5693.00,1124.00
9.68,505352.00,576825.00,5743.00,1124.00
